epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.414,5.12896,10.9636,4.39863,0,0,0,0,6.82893,68.4352,4.16322,8e-05,8e-05,8e-05
2,170.654,5.0406,8.94006,4.30925,0,0,0,0,6.82936,68.5849,4.16801,0.000175545,0.000175545,0.000175545
3,234.41,5.19283,11.7368,4.37613,0,0,0,0,6.83018,68.7709,4.17563,0.00026614,0.00026614,0.00026614
4,293.292,5.02886,10.8734,4.2226,0,0,0,0,6.83128,68.8666,4.18487,0.000351785,0.000351785,0.000351785
5,349.97,4.79633,9.05432,4.12875,0,0,0,0,6.74979,68.3424,4.15217,0.00043248,0.00043248,0.00043248
6,408.976,4.4088,7.6389,4.16161,0,0,0,0,6.66409,67.4745,4.11365,0.000508225,0.000508225,0.000508225
7,469.481,4.20154,7.33567,4.08216,0,0,0,0,6.48015,64.3337,4.02762,0.00057902,0.00057902,0.00057902
8,525.956,3.95798,6.35043,4.11024,0,0,0,0,6.33101,60.537,3.95587,0.000644865,0.000644865,0.000644865
9,591.749,4.07362,6.14205,3.894,0,0,0,0,6.13651,54.5841,3.86101,0.00070576,0.00070576,0.00070576
10,651.052,4.10619,6.552,3.72818,0,0,0,0,6.03978,48.4821,3.81344,0.000761705,0.000761705,0.000761705
11,709.896,3.84286,5.97783,3.57714,0,0,0,0,5.85036,41.4481,3.71378,0.0008127,0.0008127,0.0008127
12,765.503,3.85991,6.25177,3.43708,0,0,0,0,5.53819,37.1476,3.54953,0.000858745,0.000858745,0.000858745
13,831.164,3.71528,5.59149,3.37039,0,0,0,0,5.37495,34.9292,3.46301,0.00089984,0.00089984,0.00089984
14,896.882,3.75994,5.41696,3.38004,0,0,0,0,5.17341,30.6506,3.34677,0.000935985,0.000935985,0.000935985
15,954.605,3.79394,5.03569,3.28481,0,0,0,0,6.59249,35.8739,4.05618,0.00096718,0.00096718,0.00096718
16,1015.29,3.49958,5.04993,3.1335,0,0,0,0,6.7992,37.6114,4.14852,0.000993425,0.000993425,0.000993425
17,1077.4,3.48558,4.81764,3.1574,0,0,0,0,5.30899,35.0225,3.39264,0.00101472,0.00101472,0.00101472
18,1144.69,3.62785,5.3149,2.92931,0,0,0,0,5.0999,34.071,3.28535,0.00103106,0.00103106,0.00103106
19,1240.86,3.53217,4.63218,2.85999,0,0,0,0,5.23564,33.3045,3.34069,0.00104246,0.00104246,0.00104246
20,1329.02,3.35381,4.2545,2.91692,0,0,0,0,5.32632,33.4597,3.33222,0.00104891,0.00104891,0.00104891
21,1412.85,3.30949,4.31555,2.77881,0,0,0,0,5.03859,34.2778,3.16413,0.00101,0.00101,0.00101
22,1502.19,3.27866,4.01096,2.69818,0,0,0,0,4.73538,34.2508,2.96762,0.0009605,0.0009605,0.0009605
23,1582.72,3.22497,3.94195,2.78868,0,0,0,0,4.7466,32.9501,2.85974,0.000911,0.000911,0.000911
24,1657.32,3.25268,4.0008,2.55515,0,0,0,0,3.7132,19.7664,2.54632,0.0008615,0.0008615,0.0008615
25,1738.05,3.30153,4.06056,2.65497,0.00083,0.1,0.04542,0.0181,3.3185,10.3609,2.14315,0.000812,0.000812,0.000812
26,1823.35,2.95625,3.9676,2.5134,0.00086,0.1,0.04557,0.01145,3.55449,7.99523,2.11304,0.0007625,0.0007625,0.0007625
27,1903.78,3.10391,3.5374,2.55678,0.45264,0.05,0.04288,0.01102,3.60367,6.46275,2.10565,0.000713,0.000713,0.000713
28,1979.97,3.00824,3.43823,2.60053,0.45358,0.1,0.05165,0.01936,2.96713,5.31635,1.90422,0.0006635,0.0006635,0.0006635
29,2072.31,3.02035,3.35464,2.56416,0.45178,0.1,0.06726,0.02706,2.76399,4.95536,1.81306,0.000614,0.000614,0.000614
30,2157.2,2.93039,3.55657,2.66281,0.58946,0.14473,0.09508,0.04036,2.69215,4.16006,1.79311,0.0005645,0.0005645,0.0005645
31,2248.53,2.93397,3.69278,2.74646,0.52313,0.15,0.14494,0.05433,2.60959,4.27159,1.74979,0.000515,0.000515,0.000515
32,2338.95,2.77248,3.78513,2.37696,0.68818,0.15,0.16059,0.05491,2.64955,3.9262,1.78076,0.0004655,0.0004655,0.0004655
33,2432.03,2.75591,3.60679,2.38179,0.76602,0.15,0.16931,0.05462,2.6702,3.74901,1.79544,0.000416,0.000416,0.000416
34,2519.19,2.61973,3.52488,2.3393,0.90869,0.15,0.17248,0.05792,2.65022,3.82995,1.75714,0.0003665,0.0003665,0.0003665
35,2597.42,2.66727,3.39187,2.29458,0.44682,0.2,0.16386,0.0552,2.61827,3.39412,1.75026,0.000317,0.000317,0.000317
36,2692.9,2.58208,3.37463,2.3298,0.50394,0.2,0.17004,0.05659,2.66885,3.45209,1.73361,0.0002675,0.0002675,0.0002675
37,2783.38,2.55799,3.23105,2.34649,0.72158,0.2,0.18579,0.07785,2.69057,3.30849,1.72142,0.000218,0.000218,0.000218
38,2879.99,2.54361,3.43311,2.2371,0.60426,0.2,0.19716,0.08607,2.73671,3.31297,1.72509,0.0001685,0.0001685,0.0001685
39,2977,2.53173,3.39046,2.369,0.88037,0.2,0.2105,0.09673,2.76873,3.37016,1.72977,0.000119,0.000119,0.000119
40,3071.6,2.65958,3.66739,2.39454,0.9019,0.2,0.21365,0.10309,2.77006,3.42464,1.7343,6.95e-05,6.95e-05,6.95e-05
